;nplv;DT;МАРКА;ПРОФИЛЬ;t вып-обр;t обработка;t под током;t продувка;ПСН гр.;чист расход C;чист расход Cr;чист расход Mn;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);N2 (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;произв  количество плавок;произв количество плавок (цел);расход газ Ar;расход газ  N2;расход C пров.;сыпуч известь РП;сыпуч кварцит;сыпуч кокс пыль УСТК;сыпуч  кокс. мелочь (сух.);сыпуч  кокс. мелочь КМ1;сыпуч  шпат плав.;ферспл CaC2;ферспл FeMo;ферспл FeSi-75;ферспл FeV азот.;ферспл  FeV-80;ферспл  Mn5Si65Al0.5;ферспл  Ni H1 пласт.;ферспл SiMn18;ферспл  ферванит;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый Mo_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Cu;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний Ni;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
722;г683863<?:7;2070-07-22 01:22:00;Э90ХАФ;Р65;6,0;40,7;21,2;40,5333333;3,1607502;0,47095;0,092332;0,195756;0,104527;0,0903978;1573,0;1616,0;8,0115254;13,9799659;13658,490566;109,8;1,0;1,0;1,0;2,626;13,646;;;;0,06;;0,505;;0,02;;;;0,099899;0,083;;0,298;0,025752;0,164;4826,0;0,002;0,488;0,208;0,113;0,639;0,008;0,009;0,078;0,007;0,022;0,469;0,001;0,002;0,003;0,845;0,0002;0,288;0,112;0,817;0,006;0,016;0,078;0,008;0,018;0,572;0,003;0,087;;55,0;0,6;9,8;0,09;2,5;;;55,6;0,3;6,8;0,08;2,2;
723;г683863<?:8;2070-07-22 02:14:00;Э90ХАФ;Р65;8,0;43,1833333;20,8166667;43,0;2,8774878;0,41874;0,069812;0,180299;0,140515;0,0942348;1564,0;1591,0;7,4680435;7,7938369;14025,3002402;114,1;1,0;1,0;1,0;3,817;7,166;;0,077;;0,05;;0,454;0,038;0,02;;;;0,104239;0,145;;0,273;0,026801;0,124;4866,0;0,002;0,531;0,228;0,106;0,646;0,007;0,009;0,072;0,007;0,022;0,442;0,001;0,002;0,003;0,836;0,0003;0,287;0,106;0,807;0,005;0,013;0,072;0,008;0,016;0,553;0,003;0,087;;57,0;0,6;13,2;0,19;2,4;;;55,6;0,7;8,3;0,19;2,1;
724;г683863<?:9;2070-07-22 03:07:00;Э90ХАФ;Р65;8,0;45,8666667;18,85;45,55;2,7218494;0,47362;0,072064;0,16173;0,092442;0,0903128;1565,0;1607,0;9,1278311;7,4956419;13607,4270557;108,8;1,0;1,0;1,0;5,284;7,023;;0,057;;0,05;;0,522;;0,02;;;;0,099103;0,078;;0,246;0,027163;0,128;4275,0;0,002;0,47;0,223;0,113;0,654;0,008;0,008;0,075;0,007;0,021;0,457;0,001;0,002;0,003;0,837;0,0003;0,287;0,113;0,808;0,006;0,013;0,075;0,008;0,019;0,559;0,003;0,087;;56,1;1,2;10,3;0,21;2,5;;;59,9;0,7;3,3;0,09;2,3;
725;г683863<?::;2070-07-22 04:01:00;Э90ХАФ;Р65;15,0;49,55;29,7166667;49,3833333;3,6653485;0,4946696;0,06756;0,13061;0,094666;0,0939339;1508,0;1598,0;7,8347368;9,8024831;14448,4576556;115,5;1,0;1,0;1,0;4,135;9,65;0,034968;;;0,05;;0,509;0,079;0,02;;;;0,103696;0,094;;0,198;0,027127;0,12;7156,0;0,002;0,456;0,231;0,113;0,696;0,008;0,008;0,076;0,008;0,022;0,471;0,002;0,002;0,003;0,855;0,0007;0,286;0,111;0,801;0,006;0,014;0,076;0,009;0,021;0,543;0,003;0,085;;54,3;0,6;6,1;0,1;2,6;;;56,0;0,9;8,8;0,19;2,1;
726;"г683863<?:;";2070-07-22 04:58:00;Э90ХАФ;Р65;16,0;40,0333333;15,7166667;39,9;2,0;0,496255;0,083887;0,129071;0,113626;0,0934492;1570,0;1589,0;11,0973392;17,34371;13510,4984093;114,2;1,0;1,0;1,0;5,561;13,557;;0,042;;0,05;;0,549;0,069;0,02;;;;0,103841;0,124;;0,195;0,025752;0,149;3539,0;0,002;0,49;0,215;0,112;0,689;0,008;0,007;0,074;0,008;0,019;0,443;0,002;0,002;0,003;0,858;0,0001;0,283;0,111;0,803;0,006;0,016;0,074;0,009;0,015;0,55;0,003;0,083;;55,0;0,6;9,1;0,13;2,6;;;57,6;0,7;6,1;0,11;2,2;
727;г683863<?:<;2070-07-22 05:58:00;Э90ХАФ;Р65;7,0;40,2;17,05;40,05;3,1520501;0,402634;0,057989;0,15312;0,114724;0,0933534;1551,0;1587,0;7,7963459;8,9616534;14002,3460411;114,6;1,0;1,0;1,0;3,556;7,829;0,01222;;;0,05;;0,423;0,07;0,02;;;;0,10366;0,116;;0,232;0,025861;0,103;3979,0;0,002;0,528;0,239;0,11;0,673;0,007;0,008;0,073;0,01;0,023;0,452;0,002;0,002;0,003;0,854;0,0002;0,289;0,111;0,808;0,005;0,014;0,073;0,011;0,019;0,561;0,003;0,085;;58,7;0,3;8,0;0,11;2,7;;;58,7;0,7;3,1;0,09;2,3;
728;г683863<?:=;2070-07-22 06:55:00;Э90ХАФ;Р65;5,0;42,0166667;19,0166667;41,85;2,6919729;0,447125;0,087265;0,14749;0,094543;0,093991;1573,0;1593,0;7,1686315;9,26;13402,9798422;114,4;1,0;1,0;1,0;3,885;7,871;;;;0,05;;0,487;0,092;0,02;;;;0,104565;0,087;;0,224;0,02568;0,155;4248,0;0,002;0,522;0,214;0,115;0,673;0,011;0,007;0,088;0,007;0,018;0,466;0,002;0,002;0,004;0,846;0,0003;0,287;0,116;0,801;0,009;0,013;0,088;0,008;0,013;0,562;0,003;0,086;;61,4;0,4;7,3;0,09;2,7;;;62,3;0,6;4,0;0,08;2,4;
729;г683863<?:>;2070-07-22 07:46:00;Э90ХАФ;Р65;6,0;48,0333333;19,3666667;48,0333333;2,2302885;0,462835;0,083887;0,147765;0,07719;0,0913639;1585,0;1590,0;19,3731823;17,8162571;13139,070568;109,5;1,0;1,0;1,0;14,729000000000001;15,708;;;;0,049999999999999996;;0,507;0,07100000000000001;0,02;;;;0,100948;0,06;;0,22499999999999998;0,026223;0,14900000000000002;4241,0;0,002;0,474;0,219;0,108;0,661;0,01;0,009;0,079;0,006;0,017;0,473;0,002;0,002;0,003;0,862;0,0002;0,292;0,108;0,798;0,008;0,014;0,079;0,007;0,015;0,545;0,003;0,087;;64,4;0,2;5,9;0,08;2,8;;;49,9;0,5;4,8;0,1;2,3;
730;г683863<?:?;2070-07-22 08:38:00;Э90ХАФ;Р65;9,0;53,2166667;30,5333333;52,7;3,3864635;0,53171;0,109222;0,183214;0,12514;0,0971443;1562,0;1588,0;19,0348817;22,0682696;11784,4978166;117,3;1,0;1,0;1,0;6,033;31,104;;0,148;;0,05;;0,586;0,033;0,02;;;;0,107711;0,12;;0,278;0,027199;0,194;5997,0;0,002;0,426;0,198;0,114;0,636;0,009;0,009;0,078;0,006;0,02;0,463;0,002;0,002;0,003;0,865;0,001;0,288;0,114;0,786;0,007;0,018;0,078;0,008;0,018;0,519;0,003;0,087;;55,4;0,6;5,9;0,1;2,6;;;59,2;0,7;6,7;0,11;2,3;
731;"г683863<?;6";2070-07-22 09:35:00;Э90ХАФ;Р65;12,0;50,85;27,3166667;50,6833333;3,5090639;0,448585;0,080509;0,12276;0,091977;0,0963265;1573,0;1605,0;21,312;13,8542521;13923,3679073;115,5;1,0;1,0;1,0;0,296;22,898;;0,163;;0,05;;0,491;0,026;0,02;;;;0,107096;0,093;;0,186;0,02644;0,143;6339,0;0,002;0,537;0,222;0,099;0,684;0,007;0,009;0,076;0,008;0,019;0,459;0,001;0,002;0,004;0,838;0,0006;0,286;0,098;0,788;0,005;0,016;0,075;0,008;0,014;0,52;0,002;0,086;;55,2;0,8;13,4;0,2;2,6;;;58,8;0,6;8,3;0,13;2,2;
732;"г683863<?;7";2070-07-22 10:31:00;Э90ХАФ;Р65;16,0;49,3833333;25,4833333;49,3833333;3,4454148;0,460895;0,055737;0,144533;0,107971;0,0943945;1554,0;1589,0;;22,5863099;13764,2903859;115,8;1,0;1,0;1,0;;36,113;;;;0,05;;0,51;0,051;0,02;;;;0,105433;0,109;;0,219;0,025029;0,099;5846,0;0,002;0,501;0,242;0,11;0,67;0,008;0,009;0,082;0,008;0,02;0,458;0,002;0,002;0,004;0,858;0,0003;0,286;0,109;0,792;0,006;0,015;0,082;0,009;0,018;0,578;0,004;0,084;;55,1;0,6;5,5;0,1;3,0;;;57,9;0,6;8,1;0,15;2,2;
733;"г683863<?;8";2070-07-22 11:22:00;Э90ХАФ;Р65;25,0;42,7166667;21,1833333;42,25;4,2126437;0,44773;0,07319;0,10533;0,126806;0,0954363;1547,0;1585,0;22,171875;17,753954;14425,4917388;115,3;1,0;1,0;1,0;2,365;22,513;;;;0,05;;0,492;0,112;0,02;;;;0,106626;0,154;;0,158;0,024848;0,13;5093,0;0,002;0,52;0,229;0,1;0,705;0,007;0,007;0,073;0,008;0,018;0,446;0,002;0,002;0,003;0,843;0,0002;0,291;0,1;0,798;0,005;0,014;0,073;0,009;0,015;0,565;0,003;0,087;;49,9;1,0;4,8;0,12;2,1;;;59,4;0,6;7,6;0,13;2,2;
734;"г683863<?;9";2070-07-22 12:12:00;Э90ХАФ;Р65;34,0;41,0333333;19,0166667;40,5333333;3,5440696;0,38511;0,063056;0,093193;0,07589;0,0905251;1556,0;1590,0;16,9935872;16,8695469;13680,6310254;110,6;1,0;1,0;1,0;4,711;17,788;;;;0,05;;0,417;0,089;0,02;;;;0,100188;0,08;;0,141;0,025174;0,112;4336,0;0,002;0,542;0,23;0,108;0,712;0,007;0,008;0,072;0,008;0,017;0,503;0,002;0,002;0,003;0,86;0,0002;0,285;0,106;0,795;0,006;0,014;0,072;0,008;0,014;0,569;0,003;0,086;;62,0;0,2;8,7;0,16;2,5;;;61,8;0,3;8,8;0,17;2,5;
735;"г683863<?;:";2070-07-22 13:05:00;Э90ХАФ;Р65;24,0;50,35;20,8166667;50,35;3,5375;0,51223;0,099088;0,152187;0,101574;0,0959742;1571,0;1583,0;;22,7815293;13809,1273018;117,3;1,0;1,0;1,0;;38,235;;;;0,05;;0,565;0,048;0,02;;;;0,106952;0,096;;0,231;0,025354;0,176;4791,0;0,002;0,439;0,207;0,104;0,673;0,007;0,008;0,073;0,007;0,018;0,466;0,002;0,002;0,003;0,84;0,0001;0,289;0,104;0,798;0,006;0,016;0,073;0,008;0,018;0,567;0,003;0,087;;60,0;1,2;6,6;0,11;2,7;;;60,5;0,4;4,7;0,07;2,6;
736;"г683863<?;;";2070-07-22 14:02:00;Э90ХАФ;Р65;32,0;42,0666667;23,0;42,0666667;3,7970639;0,48367;0,104718;0,171045;0,132943;0,0958796;1542,0;1575,0;;12,4406604;13977,3913043;117,2;1,0;1,0;1,0;;17,372;;;;0,05;;0,528;0,074;0,02;;;;0,106952;0,137;;0,259;0,025137;0,186;5358,0;0,002;0,484;0,2;0,115;0,653;0,007;0,008;0,072;0,007;0,021;0,432;0,001;0,002;0,003;0,845;0,0002;0,286;0,113;0,797;0,005;0,015;0,072;0,007;0,018;0,549;0,003;0,085;;55,7;0,7;5,9;0,14;2,6;;;59,0;0,6;7,5;0,13;2,2;
737;"г683863<?;<";2070-07-22 14:53:00;Э90ХАФ;Р65;36,0;42,0333333;21,5333333;41,8666667;3,942057;0,485125;0,083887;0,109173;0,094248;0,0941502;1545,0;1578,0;23,58;15,9017059;14138,0804954;115,2;1,0;1,0;1,0;0,262;21,75;;;;0,05;;0,536;0,049;0,02;;;;0,104456;0,102;;0,165;0,025716;0,149;5074,0;0,002;0,491;0,217;0,098;0,702;0,007;0,004;0,075;0,009;0,017;0,471;0,002;0,003;0,004;0,836;0,0005;0,289;0,1;0,804;0,006;0,015;0,075;0,009;0,014;0,579;0,004;0,086;;58,7;0,4;5,1;0,09;2,8;;;59,2;0,7;7,1;0,12;2,3;
738;"г683863<?;=";2070-07-22 15:46:00;Э90ХАФ;Р65;31,0;42,85;24,3833333;42,5166667;4,0398075;0,48758;0,06193;0,059419;0,075487;0,0945918;1523,0;1572,0;23,07;15,3975992;14082,5700615;114,8;1,0;1,0;1,0;0,769;21,022;;;;0,05;;0,545;0,043;0,02;;;;0,105469;0,093;;0,089;0,024884;0,11;5723,0;0,002;0,482;0,237;0,106;0,748;0,007;0,007;0,073;0,01;0,019;0,484;0,002;0,003;0,004;0,845;0,0006;0,286;0,103;0,797;0,005;0,013;0,072;0,011;0,015;0,563;0,004;0,087;;63,6;0,3;6,7;0,12;2,8;;;58,6;0,7;6,6;0,11;2,2;
739;"г683863<?;>";2070-07-22 16:49:00;Э90ХАФ;Р65;18,0;44,05;18,5166667;43,55;3,4048443;0,505415;0,027587;0,017389;0,053574;0,0885784;1588,0;1579,0;15,8594595;18,5472233;12397,479748;108,9;1,0;1,0;1,0;0,978;25,42;;;;0,05;;0,575;0,163;0,02;;;;0,097041;0,076;;0,025;0,02644;0,049;3826,0;0,002;0,493;0,264;0,104;0,781;0,007;0,008;0,078;0,014;0,019;0,502;0,002;0,003;0,004;0,854;0,0002;0,289;0,102;0,803;0,006;0,015;0,078;0,016;0,016;0,581;0,003;0,086;;53,6;1,0;3,6;0,11;3,5;;;57,6;0,7;7,7;0,16;2,2;
740;"г683863<?;?";2070-07-22 17:45:00;Э90ХАФ;Р65;19,0;43,8666667;20,8166667;43,8666667;4,0690058;0,475965;0,079337;0,097564;0,128011;0,0944167;1559,0;1581,0;;14,3504682;14178,06245;116,8;1,0;1,0;1,0;;20,86;;;;0,05;;0,526;0,073;0,02;;;;0,105288;0,159;;0,146;0,024812;0,141;4919,0;0,002;0,503;0,228;0,106;0,711;0,008;0,009;0,079;0,01;0,019;0,441;0,002;0,002;0,003;0,855;0,0002;0,291;0,106;0,794;0,006;0,014;0,079;0,011;0,017;0,572;0,003;0,083;;57,8;0,5;4,8;0,08;3,0;;;58,8;0,7;7,1;0,13;2,2;
741;г683863<?<6;2070-07-22 18:43:00;Э90ХАФ;Р65;14,0;40,85;21,8333333;40,85;3,9488007;0,507475;0,094809;0,1757;0,138027;0,0958168;1559,0;1584,0;13,8692308;16,4739653;14048,2442748;116,9;1,0;1,0;1,0;1,803;20,565;;;;0,05;;0,559;0,074;0,02;;;;0,106952;0,143;;0,266;0,024993;0,169;5112,0;0,002;0,469;0,207;0,105;0,643;0,008;0,008;0,074;0,007;0,018;0,442;0,002;0,002;0,003;0,865;0,0002;0,285;0,103;0,796;0,006;0,015;0,073;0,008;0,015;0,572;0,003;0,086;;54,9;0,8;6,0;0,1;3,0;;;58,0;0,6;7,7;0,14;2,2;
742;г683863<?<7;2070-07-22 19:37:00;Э76ХФ;Р65;9,0;48,8666667;25,5166667;48,8666667;3,8546471;0,398695;0,113883;0,099756;0,109221;0,0402629;1593,0;1633,0;11,1843111;;14077,8576094;112,89999999999999;1,0;1,0;1,0;18,218;;;0,137;;0,05;;0,42400000000000004;0,039;0,02;;;;0,050709;0,129;;0,15;;0,203;5987,0;0,001;0,465;0,325;0,093;0,697;0,006;0,007;0,064;0,009;0,015;0,47;0,002;0,002;0,004;0,76;0,0002;0,421;0,092;0,789;0,005;0,011;0,064;0,01;0,012;0,578;0,003;0,039;;62,3;0,5;6,1;0,09;2,8;;;56,6;0,6;5,3;0,09;2,8;
743;г683863<?<8;2070-07-22 20:30:00;Э76ХФ;Р65;14,0;45,7166667;27,25;45,7166667;;0,355635;0,123981;0,09838;0,105636;0,040837;1558,0;1602,0;9,0584032;;12524,0366972;115,0;1,0;1,0;1,0;13,804;;;;;0,05;;0,369;0,037;0,02;;;;0,051432;0,124;;0,148;;0,221;5688,0;0,002;0,514;0,318;0,105;0,702;0,007;0,01;0,075;0,009;0,018;0,485;0,002;0,003;0,003;0,769;0,0002;0,42;0,106;0,79;0,007;0,011;0,076;0,009;0,014;0,573;0,003;0,038;;56,5;1,1;6,6;0,15;2,9;;;61,3;0,5;4,3;0,11;2,8;
744;г683863<?<9;2070-07-22 21:24:00;Э76ХФ;Р65;17,0;52,0333333;28,0166667;52,0333333;;0,40777;0,081906;0,077689;0,079598;0,0390569;1564,0;1600,0;8,045804;;12763,8310529;110,3;1,0;1,0;1,0;13,955;;;;;0,05;;0,442;0,038;0,02;;;;0,04919;0,092;;0,117;;0,146;5960,0;0,003;0,461;0,343;0,104;0,727;0,007;0,011;0,074;0,008;0,018;0,514;0,003;0,002;0,004;0,765;0,0002;0,414;0,107;0,782;0,006;0,013;0,075;0,009;0,014;0,583;0,004;0,038;;62,5;1,0;4,7;0,13;3,0;;;57,0;0,8;7,1;0,15;2,2;
745;г683863<?<:;2070-07-22 22:21:00;Э76ХФ;Р65;25,0;52,7;24,5333333;52,7;;0,442975;0,116127;0,151875;0,147313;0,0416413;1578,0;1601,0;8,6925996;;12827,4456522;116,0;1,0;1,0;1,0;15,27;;;;;0,092;;0,44;0,04;0,02;;;;0,052445;0,167;;0,229;;0,207;5245,0;0,002;0,403;0,324;0,107;0,662;0,007;0,011;0,076;0,008;0,02;0,449;0,002;0,002;0,004;0,78;0,0005;0,419;0,106;0,789;0,006;0,013;0,076;0,009;0,017;0,58;0,003;0,038;;61,6;1,1;4,8;0,12;2,8;;;59,2;0,7;4,7;0,08;2,6;
746;"г683863<?<;";2070-07-22 23:20:00;Э76ХФ;Р65;27,0;42,6833333;21,5;42,6833333;;0,34947;0,105468;0,095372;0,146801;0,0412682;1570,0;1579,0;8,3435377;;12301,3953488;117,5;1,0;1,0;1,0;11,871;;;;;0,05;;0,365;0,037;0,02;;;;0,051975;0,189;;0,142;;0,188;4408,0;0,002;0,52;0,334;0,106;0,717;0,007;0,009;0,075;0,012;0,02;0,455;0,002;0,003;0,004;0,767;0,0004;0,419;0,106;0,796;0,006;0,012;0,077;0,013;0,016;0,585;0,004;0,038;;54,0;1,1;8,4;0,2;2,8;;;62,6;0,3;4,6;0,09;2,8;
747;г683863<?<<;2070-07-23 00:13:00;Э76ХФ;Р65;26,0;48,3666667;25,5333333;48,3666667;2,9646119;0,483715;0,127347;0,164361;0,124104;0,0415262;1556,0;1581,0;11,515162;;13234,464752;115,7;1,0;1,0;1,0;18,565;;;;;0,05;;0,524;0,049;0,02;;;;0,0523;0,126;;0,249;;0,227;5632,0;0,002;0,407;0,314;0,11;0,653;0,008;0,012;0,08;0,007;0,019;0,452;0,002;0,002;0,003;0,754;0,0002;0,419;0,11;0,795;0,008;0,012;0,08;0,008;0,016;0,578;0,004;0,038;;62,0;0,7;4,1;0,1;3,4;;;63,7;0,4;4,0;0,08;2,8;
748;г683863<?<=;2070-07-23 01:08:00;Э76ХФ;Р65;29,0;42,55;19,5333333;42,55;;0,422225;0,109395;0,123432;0,123129;0,0402629;1571,0;1582,0;12,0768508;;12947,0989761;114,6;1,0;1,0;1,0;17,129;;;;;0,05;;0,453;0,049;0,02;;;;0,050709;0,141;;0,186;;0,195;4215,0;0,002;0,443;0,33;0,104;0,686;0,008;0,01;0,073;0,012;0,022;0,458;0,002;0,003;0,004;0,77;0,0003;0,42;0,103;0,791;0,007;0,012;0,073;0,013;0,021;0,58;0,004;0,038;;54,6;0,5;4,3;0,14;2,9;;;59,6;0,6;3,7;0,09;2,6;
749;г683863<?<>;2070-07-23 02:01:00;Э76ХФ;Р65;29,0;43,1833333;19,7;43,1833333;;0,371085;0,093687;0,118138;0,118524;0,0400041;1569,0;1581,0;8,5449633;;12639,5939086;111,7;1,0;1,0;1,0;12,3;;;;;0,05;;0,393;0,036;0,02;;;;0,050383;0,136;;0,178;;0,167;4150,0;0,002;0,477;0,34;0,108;0,688;0,012;0,01;0,071;0,01;0,021;0,466;0,002;0,002;0,003;0,755;0,0001;0,417;0,108;0,787;0,011;0,01;0,07;0,01;0,018;0,573;0,003;0,038;;54,1;0,4;4,9;0,12;2,7;;;61,1;0,8;4,9;0,12;2,8;
750;г683863<?<?;2070-07-23 02:56:00;Э76ХФ;Р65;27,0;47,2166667;16,0;47,2166667;;0,43057;0,127908;0,199227;0,175129;0,0416985;1600,0;1579,0;8,7801624;;12735,0;116,1;1,0;1,0;1,0;13,819;;;;;0,05;;0,457;0,037;0,02;;;;0,052517;0,191;;0,301;;0,228;3396,0;0,002;0,451;0,314;0,098;0,632;0,008;0,011;0,071;0,007;0,019;0,432;0,001;0,002;0,003;0,768;0,0003;0,416;0,099;0,799;0,008;0,012;0,072;0,009;0,016;0,572;0,003;0,038;;56,1;1,4;9,0;0,34;2,5;;;61,5;0,6;5,3;0,14;2,6;
751;г683863<?=6;2070-07-23 03:53:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
752;г683863<?=7;2070-07-23 04:46:00;Э76ХФ;Р65;11,0;65,0833333;25,5333333;65,0833333;;0,416075;0,120615;0,158965;0,174973;0,0415556;1574,0;1579,0;7,3078617;;12644,6475196;117,1;1,0;1,0;1,0;15,854;;;;;0,05;;0,442;0,036;0,02;;;;0,052337;0,207;;0,239;;0,215;5381,0;0,002;0,45;0,318;0,105;0,645;0,009;0,011;0,075;0,009;0,021;0,429;0,001;0,002;0,003;0,766;0,0003;0,418;0,106;0,79;0,008;0,013;0,076;0,01;0,019;0,572;0,003;0,038;;53,5;0,8;7,7;0,16;2,6;;;49,5;0,9;7,3;0,16;2,3;
753;г683863<?=8;2070-07-23 05:46:00;Э76ХФ;Р65;27,0;43,5166667;21,0166667;43,5166667;;0,42364;0,107712;0,09915;0,141331;0,0405504;1560,0;1581,0;9,0110303;;12484,3774782;115,5;1,0;1,0;1,0;13,071;;;;;0,05;;0,456;0,038;0,02;;;;0,051071;0,179;;0,148;;0,192;4373,0;0,002;0,446;0,327;0,113;0,696;0,009;0,009;0,075;0,011;0,019;0,448;0,002;0,003;0,004;0,767;0,0003;0,415;0,113;0,784;0,009;0,014;0,076;0,012;0,017;0,574;0,003;0,038;;53,5;1,1;6,3;0,2;2,9;;;62,8;0,4;3,9;0,09;2,7;
754;г683863<?=9;2070-07-23 06:39:00;Э76ХФ;Р65;27,0;42,0333333;17,8;42,0333333;;0,376025;0,083589;0,090917;0,090786;0,0388266;1575,0;1576,0;8,8451229;;12508,988764;109,3;1,0;1,0;1,0;12,393;;;;;0,05;;0,402;0,036;0,02;;;;0,0489;0,104;;0,137;;0,149;3711,0;0,003;0,449;0,342;0,121;0,704;0,009;0,009;0,085;0,011;0,019;0,489;0,002;0,002;0,003;0,773;0,0001;0,415;0,12;0,781;0,008;0,012;0,085;0,012;0,017;0,571;0,003;0,038;;65,1;1,6;6,1;0,18;3,0;;;62,2;1,0;3,6;0,13;2,7;
755;г683863<?=:;2070-07-23 07:32:00;Э76ХФ;Р65;26,0;52,3833333;32,4166667;50,2166667;3,4818288;0,39118;0,08415;0,134202;0,140776;0,0407227;1527,0;1600,0;11,4814543;;14583,2390746;115,0;1,0;1,0;1,0;19,123;;;0,20400000000000001;;0,05;;0,419;0,093;0,02;;;;0,051288;0,16399999999999998;;0,20199999999999999;;0,15000000000000002;7879,0;0,002;0,494;0,347;0,115;0,666;0,012;0,012;0,1;0,012;0,025;0,455;0,002;0,003;0,004;0,758;0,0003;0,419;0,115;0,792;0,011;0,013;0,099;0,014;0,018;0,556;0,003;0,039;;69,4;2,0;5,3;0,17;3,8;;;58,9;0,9;6,3;0,09;2,7;
756;"г683863<?=;";2070-07-23 08:29:00;Э76ХФ;Р65;34,0;42,8833333;19,8166667;42,8833333;3,2531561;0,29673;0,087516;0,100166;0,068025;0,0386543;1561,0;1582,0;13,1230162;;13597,6450799;108,1;1,0;1,0;1,0;18,467;;;;;0,05;;0,303;0,073;0,02;;;;0,048683;0,065;;0,152;;0,156;4491,0;0,003;0,533;0,343;0,111;0,7;0,009;0,01;0,083;0,01;0,019;0,505;0,002;0,002;0,004;0,747;0,0004;0,419;0,109;0,79;0,008;0,011;0,083;0,01;0,017;0,579;0,004;0,038;;60,8;0,8;5,6;0,16;2,9;;;62,3;0,5;3,8;0,07;2,8;
757;г683863<?=<;2070-07-23 09:23:00;Э76ХФ;Р65;32,0;40,8666667;20,8833333;40,8666667;3,7242967;0,39697;0,139128;0,157561;0,17009;0,0415262;1547,0;1575,0;14,7795269;;14006,3846768;116,6;1,0;1,0;1,0;20,133;;;0,148;;0,05;;0,415;0,075;0,02;;;;0,0523;0,2;;0,237;;0,248;4875,0;0,002;0,46;0,302;0,113;0,648;0,009;0,01;0,079;0,01;0,023;0,431;0,001;0,002;0,003;0,772;0,0002;0,416;0,114;0,795;0,008;0,012;0,08;0,012;0,016;0,562;0,003;0,037;;57,5;0,4;12,7;0,38;2,2;;;58,4;0,7;8,4;0,17;2,2;
758;г683863<?==;2070-07-23 10:23:00;Э76ХФ;Р65;17,0;40,85;16,6666667;40,85;3,1305953;0,49814;0,148104;0,215939;0,167218;0,0406361;1580,0;1588,0;12,5732342;;14245,2;114,5;1,0;1,0;1,0;16,911;;;0,073;;0,05;;0,536;0,048;0,02;;;;0,051179;0,172;;0,327;;0,264;3957,0;0,002;0,394;0,296;0,113;0,606;0,009;0,011;0,082;0,008;0,023;0,423;0,001;0,002;0,003;0,758;0,0003;0,418;0,111;0,795;0,008;0,013;0,083;0,009;0,018;0,576;0,003;0,038;;56,2;0,4;11,8;0,24;2,1;;;58,0;0,6;8,2;0,15;2,1;
759;г683863<?=>;2070-07-23 11:19:00;Э76ХФ;Р65;10,0;40,7;14,9833333;40,7;2,8707627;0,425025;0,103785;0,163209;0,130903;0,0398032;1599,0;1581,0;16,4786241;;12902,3359288;109,7;1,0;1,0;1,0;22,356;;;0,073;;0,05;;0,456;0,083;0,02;;;;0,05013;0,137;;0,247;;0,185;3222,0;0,002;0,435;0,327;0,119;0,643;0,011;0,012;0,099;0,009;0,024;0,454;0,001;0,002;0,003;0,75;0,0001;0,421;0,119;0,8;0,01;0,013;0,098;0,01;0,017;0,575;0,003;0,036;;57,8;0,9;11,5;0,15;2,4;;;58,0;0,3;10,2;0,09;2,3;
760;г683863<?=?;2070-07-23 12:16:00;Э76ХФ;Р65;6,0;44,1833333;24,9666667;44,1833333;4,4235561;0,362825;0,106029;0,131016;0,113487;0,0408656;1530,0;1584,0;16,8070162;;14385,5807744;116,1;1,0;1,0;1,0;24,753;;;0,057;;0,05;;0,38;0,098;0,02;;;;0,051468;0,123;;0,198;;0,189;5986,0;0,002;0,501;0,329;0,11;0,683;0,008;0,009;0,079;0,009;0,022;0,484;0,003;0,003;0,004;0,761;0,0006;0,419;0,111;0,795;0,007;0,013;0,08;0,01;0,016;0,573;0,004;0,037;;62,9;1,1;11,9;0,17;3,2;;;60,2;0,7;5,1;0,11;2,7;
